Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity corrected 10	Reporter intensity corrected 11	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity 10	Reporter intensity 11	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity count 10	Reporter intensity count 11	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Deamidation (NQ) site IDs	Oxidation (M) site IDs	Deamidation (NQ) site positions	Oxidation (M) site positions
sp|O15015|ZN646_HUMAN	sp|O15015|ZN646_HUMAN	1	1	1	sp|O15015|ZN646_HUMAN Zinc finger protein 646 OS=Homo sapiens OX=9606 GN=ZNF646 PE=1 SV=2	1	1	1	1	0.4	0.4	0.4	200.82	1832	1832	0.29174	0.64633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				1492	266	True	267	699	699	699				
sp|O15027|SC16A_HUMAN	sp|O15027|SC16A_HUMAN	1	1	1	sp|O15027|SC16A_HUMAN Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4	1	1	1	1	0.3	0.3	0.3	251.89	2357	2357	0.59212	-0.11336	54943	27522	3498	1415.9	954.93	280.16	722.61	824.23	1185.6	686.83	0	54943	27522	3498	1415.9	954.93	280.16	722.61	824.23	1185.6	686.83	0	1	1	1	1	1	1	1	1	1	1	0	1387400	1				1493	54	True	55	160	160	160				
sp|Q13214|SEM3B_HUMAN;sp|O15041|SEM3E_HUMAN	sp|Q13214|SEM3B_HUMAN;sp|O15041|SEM3E_HUMAN	1;1	1;1	1;1	sp|Q13214|SEM3B_HUMAN Semaphorin-3B OS=Homo sapiens OX=9606 GN=SEMA3B PE=1 SV=1;sp|O15041|SEM3E_HUMAN Semaphorin-3E OS=Homo sapiens OX=9606 GN=SEMA3E PE=1 SV=1	2	1	1	1	0.9	0.9	0.9	83.121	749	749;775	0.425	0.30758	33810	58611	3930.1	6039.5	637.58	901.57	356.42	846.47	384.94	831.33	0	33810	58611	3930.1	6039.5	637.58	901.57	356.42	846.47	384.94	831.33	0	2	2	2	2	1	1	1	1	1	1	0	7493800	2				1494	2112	True	2146	5469;5470	5503;5504	5503				
sp|O15063|GRRE1_HUMAN	sp|O15063|GRRE1_HUMAN	1	1	1	sp|O15063|GRRE1_HUMAN Granule associated Rac and RHOG effector protein 1 OS=Homo sapiens OX=9606 GN=GARRE1 PE=1 SV=2	1	1	1	1	0.7	0.7	0.7	116.02	1070	1070	0.074371	0.89289	143180	92673	10510	5505.9	4709.8	5662.2	4609.7	4891.1	4334.2	4576.3	0	143180	92673	10510	5505.9	4709.8	5662.2	4609.7	4891.1	4334.2	4576.3	0	2	2	2	2	2	2	2	2	2	2	0	14447000	2				1495	2078	True	2112	5395;5396	5425;5426	5426				
sp|O15066|KIF3B_HUMAN	sp|O15066|KIF3B_HUMAN	2	2	2	sp|O15066|KIF3B_HUMAN Kinesin-like protein KIF3B OS=Homo sapiens OX=9606 GN=KIF3B PE=1 SV=1	1	2	2	2	2	2	2	85.124	747	747	0.037641	1.0939	213630	419280	9713.5	27508	2779.6	14980	4210.3	15170	3618	13733	0	213630	419280	9713.5	27508	2779.6	14980	4210.3	15170	3618	13733	0	5	5	4	5	2	5	3	5	4	4	0	22957000	5				1496	2735;3766	True;True	2776;3822	7016;9498;9499;9500;9501	7053;9546;9547;9548;9549	7053;9549				
sp|O15078|CE290_HUMAN	sp|O15078|CE290_HUMAN	2	2	2	sp|O15078|CE290_HUMAN Centrosomal protein of 290 kDa OS=Homo sapiens OX=9606 GN=CEP290 PE=1 SV=2	1	2	2	2	0.7	0.7	0.7	290.38	2479	2479	0.38784	0.40729	66493	66992	4199.4	4333.3	1398.1	2009.9	505.1	1468.7	690.56	1794.4	0	66493	66992	4199.4	4333.3	1398.1	2009.9	505.1	1468.7	690.56	1794.4	0	3	3	3	3	2	3	1	2	1	3	0	9643900	3				1497	222;293	True;True	223;294	595;758;759	595;760;761	595;761				
sp|O15127|SCAM2_HUMAN	sp|O15127|SCAM2_HUMAN	1	1	1	sp|O15127|SCAM2_HUMAN Secretory carrier-associated membrane protein 2 OS=Homo sapiens OX=9606 GN=SCAMP2 PE=1 SV=2	1	1	1	1	3.6	3.6	3.6	36.648	329	329	0.062718	0.91251	3288.9	3456.4	196.19	358.26	0	0	0	0	0	0	0	3288.9	3456.4	196.19	358.26	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1493500	1				1498	1737	True	1762	4558	4587	4587				
sp|O15143|ARC1B_HUMAN	sp|O15143|ARC1B_HUMAN	1	1	1	sp|O15143|ARC1B_HUMAN Actin-related protein 2/3 complex subunit 1B OS=Homo sapiens OX=9606 GN=ARPC1B PE=1 SV=3	1	1	1	1	1.9	1.9	1.9	40.949	372	372	0.031766	1.1417	25159	77091	1217.8	5752.7	0	3137.5	268.53	1945.2	300.78	1664.7	0	25159	77091	1217.8	5752.7	0	3137.5	268.53	1945.2	300.78	1664.7	0	3	3	2	3	0	3	1	3	1	3	0	6032800	3				1499	5289	True	5371	12936;12937;12938	12998;12999;13000	12999				
sp|O15145|ARPC3_HUMAN	sp|O15145|ARPC3_HUMAN	1	1	1	sp|O15145|ARPC3_HUMAN Actin-related protein 2/3 complex subunit 3 OS=Homo sapiens OX=9606 GN=ARPC3 PE=1 SV=3	1	1	1	1	3.9	3.9	3.9	20.546	178	178	0.035309	1.1096	41220	70968	2892.3	4148.4	585.25	1668	915.69	1765.9	507.09	1416	0	41220	70968	2892.3	4148.4	585.25	1668	915.69	1765.9	507.09	1416	0	3	3	3	3	2	3	2	3	1	3	0	8095800	3				1500	869	True	873	2251;2252;2253	2262;2263;2264	2264				
sp|O15230|LAMA5_HUMAN	sp|O15230|LAMA5_HUMAN	1	1	1	sp|O15230|LAMA5_HUMAN Laminin subunit alpha-5 OS=Homo sapiens OX=9606 GN=LAMA5 PE=1 SV=8	1	1	1	1	0.2	0.2	0.2	399.73	3695	3695	0.55802	0.16664	11620	10060	1540.3	1148	0	407.07	245.88	305.95	0	0	0	11620	10060	1540.3	1148	0	407.07	245.88	305.95	0	0	0	1	1	1	1	0	1	1	1	0	0	0	1228500	1				1501	885	True	889	2290	2301	2301				
sp|O15232|MATN3_HUMAN	sp|O15232|MATN3_HUMAN	2	2	2	sp|O15232|MATN3_HUMAN Matrilin-3 OS=Homo sapiens OX=9606 GN=MATN3 PE=1 SV=2	1	2	2	2	3.3	3.3	3.3	52.816	486	486	0.36771	0.46139	447190	334170	34256	23949	10527	12141	11050	13826	13383	13856	371.39	447190	334170	34256	23949	10527	12141	11050	13826	13383	13856	371.39	4	4	4	4	4	4	4	4	4	4	1	13775000	5				1502	3609;4657	True;True	3665;4734	9174;11607;11608;11609;11610	9220;11665;11666;11667;11668	9220;11665				
sp|O15270|SPTC2_HUMAN	sp|O15270|SPTC2_HUMAN	1	1	1	sp|O15270|SPTC2_HUMAN Serine palmitoyltransferase 2 OS=Homo sapiens OX=9606 GN=SPTLC2 PE=1 SV=1	1	1	1	1	2.1	2.1	2.1	62.924	562	562	0.14037	0.8021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				1503	6660	True	6753	16243	16321	16321				
sp|O15347|HMGB3_HUMAN	sp|O15347|HMGB3_HUMAN	3	2	2	sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4	1	3	2	2	14	10.5	10.5	22.98	200	200	0	5.0488	304790	214520	22596	14751	8444	8411.4	8186	9123.3	7903	8741.4	0	304790	214520	22596	14751	8444	8411.4	8186	9123.3	7903	8741.4	0	5	5	5	5	5	5	5	4	5	5	0	18353000	5				1504	3345;5268;5502	False;True;True	3399;5350;5586	8528;8529;8530;8531;12895;12896;12897;12898;13417	8572;8573;8574;8575;12957;12958;12959;12960;13487	8575;12959;13487				
sp|O15355|PPM1G_HUMAN	sp|O15355|PPM1G_HUMAN	4	4	4	sp|O15355|PPM1G_HUMAN Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1	1	4	4	4	5.5	5.5	5.5	59.271	546	546	0	3.683	170680	157350	9896.4	10611	4706.8	4199	3804.8	3338.5	3836.4	3208.7	0	170680	157350	9896.4	10611	4706.8	4199	3804.8	3338.5	3836.4	3208.7	0	8	8	8	8	7	7	6	6	6	6	0	18508000	8				1505	387;4118;6569;6608	True;True;True;True	389;4179;6661;6700	975;10357;10358;10359;16011;16114;16115;16116	980;10411;10412;10413;16089;16192;16193;16194	980;10412;16089;16194				
sp|O15371|EIF3D_HUMAN	sp|O15371|EIF3D_HUMAN	3	3	3	sp|O15371|EIF3D_HUMAN Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1	1	3	3	3	5.7	5.7	5.7	63.972	548	548	0.0016667	2.4352	292210	533860	16493	30076	2144.8	1784.8	2026.7	1403.9	2070	1295.3	0	292210	533860	16493	30076	2144.8	1784.8	2026.7	1403.9	2070	1295.3	0	9	9	7	9	4	3	3	2	3	3	0	111700000	9				1506	1258;2861;3033	True;True;True	1268;2903;3079	3255;7344;7345;7346;7347;7348;7349;7350;7739	3268;7382;7383;7384;7385;7386;7387;7388;7778	3268;7388;7778				
sp|O15482|TEX28_HUMAN	sp|O15482|TEX28_HUMAN	1	1	1	sp|O15482|TEX28_HUMAN Testis-specific protein TEX28 OS=Homo sapiens OX=9606 GN=TEX28 PE=1 SV=1	1	1	1	1	1.7	1.7	1.7	46.131	410	410	0.47023	0.22782	18203	20928	711.23	1087.5	608.37	973.4	366.65	616.96	351.6	408.18	0	18203	20928	711.23	1087.5	608.37	973.4	366.65	616.96	351.6	408.18	0	1	1	1	1	1	1	1	1	1	1	0	6651900	1				1507	4635	True	4712	11560	11618	11618				
sp|O15484|CAN5_HUMAN	sp|O15484|CAN5_HUMAN	1	1	1	sp|O15484|CAN5_HUMAN Calpain-5 OS=Homo sapiens OX=9606 GN=CAPN5 PE=1 SV=2	1	1	1	1	2.2	2.2	2.2	73.168	640	640	0.20495	0.7196	4341.6	5310.1	561.42	531.64	0	0	0	0	0	0	0	4341.6	5310.1	561.42	531.64	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	6926900	1				1508	4380	True	4452	11026	11084	11084				
sp|O15511|ARPC5_HUMAN	sp|O15511|ARPC5_HUMAN	2	2	2	sp|O15511|ARPC5_HUMAN Actin-related protein 2/3 complex subunit 5 OS=Homo sapiens OX=9606 GN=ARPC5 PE=1 SV=3	1	2	2	2	12.6	12.6	12.6	16.32	151	151	0	3.8378	21203	39480	1205.9	2746.4	0	1536.5	558.05	782.11	0	1047.1	0	21203	39480	1205.9	2746.4	0	1536.5	558.05	782.11	0	1047.1	0	2	2	2	2	0	2	1	2	0	2	0	3965800	3				1509	352;425	True;True	354;427	888;1076;1077	893;1082;1083	893;1083				
sp|O43143|DHX15_HUMAN	sp|O43143|DHX15_HUMAN	2	2	2	sp|O43143|DHX15_HUMAN Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 OS=Homo sapiens OX=9606 GN=DHX15 PE=1 SV=2	1	2	2	2	2.9	2.9	2.9	90.932	795	795	0	3.6192	100720	90429	5317.1	4923.5	2612.8	2144.4	1330.3	2251.8	1269.7	1450.6	0	100720	90429	5317.1	4923.5	2612.8	2144.4	1330.3	2251.8	1269.7	1450.6	0	5	5	5	5	4	2	3	4	3	4	0	14908000	5				1510	3621;6572	True;True	3677;6664	9201;9202;9203;16014;16015	9247;9248;9249;16092;16093	9248;16092				
sp|O43149|ZZEF1_HUMAN	sp|O43149|ZZEF1_HUMAN	1	1	1	sp|O43149|ZZEF1_HUMAN Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZZEF1 PE=1 SV=6	1	1	1	1	0.2	0.2	0.2	331.07	2961	2961	0.21367	0.70363	137230	85297	6314.4	4317.9	3594.7	4188.7	4411.4	5176	4784.4	4537.8	0	137230	85297	6314.4	4317.9	3594.7	4188.7	4411.4	5176	4784.4	4537.8	0	2	2	2	2	2	2	2	2	2	2	0	3271200	2				1511	5480	True	5564	13363;13364	13433;13434	13434				
sp|O43150|ASAP2_HUMAN	sp|O43150|ASAP2_HUMAN	1	1	1	sp|O43150|ASAP2_HUMAN Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ASAP2 PE=1 SV=3	1	1	1	1	0.7	0.7	0.7	111.65	1006	1006	0.38489	0.40881	47924	26308	3049.7	2145.1	737.99	705.84	1223.3	919.43	1034.4	301.5	0	47924	26308	3049.7	2145.1	737.99	705.84	1223.3	919.43	1034.4	301.5	0	2	2	2	2	2	2	2	2	2	1	0	3315200	2				1512	936	True	940	2377;2378	2388;2389	2388				
sp|O43157|PLXB1_HUMAN	sp|O43157|PLXB1_HUMAN	1	1	1	sp|O43157|PLXB1_HUMAN Plexin-B1 OS=Homo sapiens OX=9606 GN=PLXNB1 PE=1 SV=3	1	1	1	1	0.5	0.5	0.5	232.3	2135	2135	0.23903	0.68524	50762	23618	4254.5	2182.8	1816.4	1048.8	820.99	987.29	1456.2	1083.5	0	50762	23618	4254.5	2182.8	1816.4	1048.8	820.99	987.29	1456.2	1083.5	0	1	1	1	1	1	1	1	1	1	1	0	1561500	1				1513	2210	True	2245	5726	5761	5761				
sp|O43175|SERA_HUMAN	sp|O43175|SERA_HUMAN	10	10	10	sp|O43175|SERA_HUMAN D-3-phosphoglycerate dehydrogenase OS=Homo sapiens OX=9606 GN=PHGDH PE=1 SV=4	1	10	10	10	19.9	19.9	19.9	56.65	533	533	0	37.967	1062200	639260	62608	37030	24861	17512	21948	20548	25655	19544	0	1062200	639260	62608	37030	24861	17512	21948	20548	25655	19544	0	25	25	25	24	23	19	20	20	22	18	0	134930000	26				1514	355;846;1149;2397;2755;3156;4712;4809;5722;6360	True;True;True;True;True;True;True;True;True;True	357;850;1155;2437;2796;3204;4788;4885;5805;6450	895;896;897;898;2184;2185;2186;2187;2970;6195;7067;7068;7069;8051;8052;8053;8054;11709;11909;11910;13934;13935;13936;15534;15535;15536	900;901;902;903;2195;2196;2197;2198;2982;6232;7104;7105;7106;8094;8095;8096;8097;11767;11967;11968;14004;14005;14006;15611;15612;15613	903;2197;2982;6232;7105;8095;11767;11968;14005;15613				
sp|O43182|RHG06_HUMAN	sp|O43182|RHG06_HUMAN	1	1	1	sp|O43182|RHG06_HUMAN Rho GTPase-activating protein 6 OS=Homo sapiens OX=9606 GN=ARHGAP6 PE=1 SV=3	1	1	1	1	0.7	0.7	0.7	105.95	974	974	0.54677	0.16664	13895	8025.2	795.02	687.37	374.56	0	0	0	232.98	299.97	0	13895	8025.2	795.02	687.37	374.56	0	0	0	232.98	299.97	0	1	1	1	1	1	0	0	0	1	1	0	1557000	1				1515	367	True	369	925	930	930				
sp|O43184|ADA12_HUMAN	sp|O43184|ADA12_HUMAN	1	1	1	sp|O43184|ADA12_HUMAN Disintegrin and metalloproteinase domain-containing protein 12 OS=Homo sapiens OX=9606 GN=ADAM12 PE=1 SV=3	1	1	1	1	0.8	0.8	0.8	99.541	909	909	0.54658	0.16664	243070	633190	16564	43084	2729.8	14484	2544.6	14774	3679.5	14927	0	243070	633190	16564	43084	2729.8	14484	2544.6	14774	3679.5	14927	0	5	5	5	5	4	5	4	5	5	5	0	25165000	5				1516	4098	True	4160	10305;10306;10307;10308;10309	10359;10360;10361;10362;10363	10359				
sp|O43196|MSH5_HUMAN	sp|O43196|MSH5_HUMAN	1	1	1	sp|O43196|MSH5_HUMAN MutS protein homolog 5 OS=Homo sapiens OX=9606 GN=MSH5 PE=1 SV=1	1	1	1	1	0.8	0.8	0.8	92.874	834	834	0.045122	1.0142	620310	309290	42305	21588	15401	14104	16551	16335	18198	14713	0	620310	309290	42305	21588	15401	14104	16551	16335	18198	14713	0	8	8	8	8	8	7	8	8	7	7	0	34676000	8				1517	478	True	480	1209;1210;1211;1212;1213;1214;1215;1216	1215;1216;1217;1218;1219;1220;1221;1222	1215				
sp|O43242|PSMD3_HUMAN	sp|O43242|PSMD3_HUMAN	2	2	2	sp|O43242|PSMD3_HUMAN 26S proteasome non-ATPase regulatory subunit 3 OS=Homo sapiens OX=9606 GN=PSMD3 PE=1 SV=2	1	2	2	2	3.6	3.6	3.6	60.977	534	534	0	5.2309	146530	120290	9267.6	6412	1744.1	3390	3157.5	2535.7	3157	2843	0	146530	120290	9267.6	6412	1744.1	3390	3157.5	2535.7	3157	2843	0	6	6	6	5	2	5	5	4	4	3	0	16230000	6				1518	1132;1679	True;True	1138;1700	2919;2920;2921;4390;4391;4392	2931;2932;2933;4419;4420;4421	2932;4421				
sp|O43248|HXC11_HUMAN	sp|O43248|HXC11_HUMAN	1	1	1	sp|O43248|HXC11_HUMAN Homeobox protein Hox-C11 OS=Homo sapiens OX=9606 GN=HOXC11 PE=1 SV=1	1	1	1	1	2.3	2.3	2.3	33.747	304	304	0.51936	0.19462	11811	6727.2	254.27	356.65	0	455.9	404.04	488.98	348.09	287.98	0	11811	6727.2	254.27	356.65	0	455.9	404.04	488.98	348.09	287.98	0	1	1	1	1	0	1	1	1	1	1	0	1073800	1				1519	2167	True	2201	5609	5643	5643				
sp|O43255|SIAH2_HUMAN	sp|O43255|SIAH2_HUMAN	1	1	1	sp|O43255|SIAH2_HUMAN E3 ubiquitin-protein ligase SIAH2 OS=Homo sapiens OX=9606 GN=SIAH2 PE=1 SV=1	1	1	1	1	2.5	2.5	2.5	34.614	324	324	0.5783	-0.013728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				1520	3674	True	3730	9298	9344	9344				
sp|O43281|EFS_HUMAN	sp|O43281|EFS_HUMAN	1	1	1	sp|O43281|EFS_HUMAN Embryonal Fyn-associated substrate OS=Homo sapiens OX=9606 GN=EFS PE=1 SV=1	1	1	1	1	1.2	1.2	1.2	58.815	561	561	0.54634	0.16664	765490	554520	60801	39351	17176	17844	17446	19339	18834	17349	234.49	765490	554520	60801	39351	17176	17844	17446	19339	18834	17349	234.49	9	9	9	9	9	9	9	9	9	9	1	121200000	9				1521	6440	True	6532	15740;15741;15742;15743;15744;15745;15746;15747;15748	15818;15819;15820;15821;15822;15823;15824;15825;15826	15821				
sp|O43283|M3K13_HUMAN	sp|O43283|M3K13_HUMAN	1	1	1	sp|O43283|M3K13_HUMAN Mitogen-activated protein kinase kinase kinase 13 OS=Homo sapiens OX=9606 GN=MAP3K13 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	108.29	966	966	0.45369	0.24909	41112	16117	3311.9	1032	1366	983.49	1425.6	880.09	1645.8	1206.5	0	41112	16117	3311.9	1032	1366	983.49	1425.6	880.09	1645.8	1206.5	0	1	1	1	1	1	1	1	1	1	1	0	2410000	1				1522	6556	True	6648	15992	16070	16070				
sp|O43291|SPIT2_HUMAN	sp|O43291|SPIT2_HUMAN	1	1	1	sp|O43291|SPIT2_HUMAN Kunitz-type protease inhibitor 2 OS=Homo sapiens OX=9606 GN=SPINT2 PE=1 SV=2	1	1	1	1	2.8	2.8	2.8	28.228	252	252	0.54103	0.16771	21762	16270	1734.4	1326.4	229.84	0	0	0	0	807.39	0	21762	16270	1734.4	1326.4	229.84	0	0	0	0	807.39	0	4	4	3	2	1	0	0	0	0	2	0	118720000	4				1523	630	True	634	1627;1628;1629;1630	1633;1634;1635;1636	1633				
sp|O43293|DAPK3_HUMAN	sp|O43293|DAPK3_HUMAN	1	1	1	sp|O43293|DAPK3_HUMAN Death-associated protein kinase 3 OS=Homo sapiens OX=9606 GN=DAPK3 PE=1 SV=1	1	1	1	1	3.5	3.5	3.5	52.535	454	454	0.57859	-0.0095738	7358.4	12154	0	756.36	0	0	0	0	0	0	0	7358.4	12154	0	756.36	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	4036400	1				1524	1445	True	1461	3778	3794	3794				
sp|O43313|ATMIN_HUMAN	sp|O43313|ATMIN_HUMAN	1	1	1	sp|O43313|ATMIN_HUMAN ATM interactor OS=Homo sapiens OX=9606 GN=ATMIN PE=1 SV=2	1	1	1	1	0.9	0.9	0.9	88.347	823	823	0.020027	1.3243	45491	174510	4281.6	11309	619.08	4774.4	560.51	5053.7	642.73	5731.2	0	45491	174510	4281.6	11309	619.08	4774.4	560.51	5053.7	642.73	5731.2	0	2	2	2	2	1	2	1	2	1	2	0	13200000	2				1525	1881	True	1908	4885;4886	4914;4915	4914				
sp|O43379|WDR62_HUMAN	sp|O43379|WDR62_HUMAN	1	1	1	sp|O43379|WDR62_HUMAN WD repeat-containing protein 62 OS=Homo sapiens OX=9606 GN=WDR62 PE=1 SV=4	1	1	1	1	0.5	0.5	0.5	165.95	1518	1518	0.5457	0.16664	39109	33785	3132.4	2841	1134.4	927.98	638.54	726.1	1043.8	1131.4	0	39109	33785	3132.4	2841	1134.4	927.98	638.54	726.1	1043.8	1131.4	0	1	1	1	1	1	1	1	1	1	1	0	4498900	1				1526	6066	True	6152	14822	14897	14897				
sp|O43390|HNRPR_HUMAN	sp|O43390|HNRPR_HUMAN	6	1	1	sp|O43390|HNRPR_HUMAN Heterogeneous nuclear ribonucleoprotein R OS=Homo sapiens OX=9606 GN=HNRNPR PE=1 SV=1	1	6	1	1	8.5	1.1	1.1	70.942	633	633	0.015068	1.4242	93547	51053	6416.6	3307.2	1833.7	2054.5	2610.5	1977	2457.6	1931	0	93547	51053	6416.6	3307.2	1833.7	2054.5	2610.5	1977	2457.6	1931	0	2	2	2	2	2	2	2	2	2	2	0	5769700	2				1527	336;1358;3311;3720;5184;5674	False;False;False;False;True;False	338;1374;3365;3776;5264;5757	859;860;861;862;3545;3546;3547;3548;8443;8444;8445;8446;9395;9396;9397;9398;12698;12699;13817;13818;13819	864;865;866;867;3559;3560;3561;3562;8487;8488;8489;8490;9441;9442;9443;9444;12760;12761;13887;13888;13889	865;3562;8490;9443;12761;13889				
sp|O43426|SYNJ1_HUMAN	sp|O43426|SYNJ1_HUMAN	1	1	1	sp|O43426|SYNJ1_HUMAN Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2	1	1	1	1	0.5	0.5	0.5	173.1	1573	1573	0.29108	0.64562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1				1528	3440	True	3493	8748	8794	8794				
sp|O43432|IF4G3_HUMAN	sp|O43432|IF4G3_HUMAN	1	1	1	sp|O43432|IF4G3_HUMAN Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens OX=9606 GN=EIF4G3 PE=1 SV=2	1	1	1	1	0.4	0.4	0.4	176.65	1585	1585	0.54608	0.16664	11602	8377.6	598.88	403.67	204.82	191.99	0	387.46	241	0	0	11602	8377.6	598.88	403.67	204.82	191.99	0	387.46	241	0	0	1	1	1	1	1	1	0	1	1	0	0	2604100	1				1529	2717	True	2757	6967	7004	7004				
sp|P11171|41_HUMAN;sp|O43491|E41L2_HUMAN;sp|Q9Y2J2|E41L3_HUMAN	sp|P11171|41_HUMAN;sp|O43491|E41L2_HUMAN;sp|Q9Y2J2|E41L3_HUMAN	1;1;1	1;1;1	1;1;1	sp|P11171|41_HUMAN Protein 4.1 OS=Homo sapiens OX=9606 GN=EPB41 PE=1 SV=4;sp|O43491|E41L2_HUMAN Band 4.1-like protein 2 OS=Homo sapiens OX=9606 GN=EPB41L2 PE=1 SV=1;sp|Q9Y2J2|E41L3_HUMAN Band 4.1-like protein 3 OS=Homo sapiens OX=9606 GN=EPB41L3 PE=1 SV=2	3	1	1	1	0.8	0.8	0.8	97.016	864	864;1005;1087	0.52773	0.17308	5863.5	4283.4	295.24	434	0	0	210.47	0	251.03	202.32	0	5863.5	4283.4	295.24	434	0	0	210.47	0	251.03	202.32	0	1	1	1	1	0	0	1	0	1	1	0	1390600	1				1530	2396	True	2436	6194	6231	6231				
sp|O43598|DNPH1_HUMAN	sp|O43598|DNPH1_HUMAN	1	1	1	sp|O43598|DNPH1_HUMAN 2-deoxynucleoside 5-phosphate N-hydrolase 1 OS=Homo sapiens OX=9606 GN=DNPH1 PE=1 SV=1	1	1	1	1	5.2	5.2	5.2	19.108	174	174	0.0018083	3.2466	57476	69429	3599.8	4420.7	1171.6	1334.4	1045.1	1154.5	903.65	1124.3	0	57476	69429	3599.8	4420.7	1171.6	1334.4	1045.1	1154.5	903.65	1124.3	0	2	2	2	2	1	1	1	2	1	2	0	15180000	2				1531	2290	True	2325	5913;5914	5948;5949	5949				
sp|O43609|SPY1_HUMAN	sp|O43609|SPY1_HUMAN	1	1	1	sp|O43609|SPY1_HUMAN Protein sprouty homolog 1 OS=Homo sapiens OX=9606 GN=SPRY1 PE=1 SV=2	1	1	1	1	3.8	3.8	3.8	35.122	319	319	0.4105	0.33958	1713.9	767.28	0	0	0	0	0	0	0	0	0	1713.9	767.28	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	59133000	1				1532	4960	True	5036	12221	12281	12281				
sp|O43670|ZN207_HUMAN	sp|O43670|ZN207_HUMAN	1	1	1	sp|O43670|ZN207_HUMAN BUB3-interacting and GLEBS motif-containing protein ZNF207 OS=Homo sapiens OX=9606 GN=ZNF207 PE=1 SV=1	1	1	1	1	2.7	2.7	2.7	50.75	478	478	0.023653	1.2661	8271.7	8875.3	517.47	616.16	413.33	0	275.16	0	213.4	479	0	8271.7	8875.3	517.47	616.16	413.33	0	275.16	0	213.4	479	0	1	1	1	1	1	0	1	0	1	1	0	2834400	1				1533	3802	True	3860	9591	9639	9639				
sp|O43674|NDUB5_HUMAN	sp|O43674|NDUB5_HUMAN	1	1	1	sp|O43674|NDUB5_HUMAN NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFB5 PE=1 SV=1	1	1	1	1	3.7	3.7	3.7	21.75	189	189	0.46675	0.23208	95986	75216	7305.7	5037.7	2042	1516.3	1330.3	1665.3	1765.7	887.52	0	95986	75216	7305.7	5037.7	2042	1516.3	1330.3	1665.3	1765.7	887.52	0	2	2	2	2	2	2	1	1	1	1	0	7929000	2				1534	73	True	74	199;200	199;200	200				
